dataset,unit,rows,sampled,columns,kind,anomaly_share,detector,status,auc,ap,seconds,detail
Wilt,Wilt,4819,4819,5,low,0.0533,CL2,ok,0.4556124267975851,0.052119168777047815,0.21,
wine,wine,129,129,13,mid,0.0775,TR4,ok,0.7747899159663865,0.17643826155922931,0.25,
wine,wine,129,129,13,mid,0.0775,SV3,ok,0.6957983193277311,0.1421021334850619,0.01,
wine,wine,129,129,13,mid,0.0775,IB3,ok,0.8857142857142857,0.2696641414141414,0.01,
wine,wine,129,129,13,mid,0.0775,IB4,ok,0.546218487394958,0.08938209079316517,0.01,
wine,wine,129,129,13,mid,0.0775,PR6,ok,0.9764705882352942,0.7437029637029636,0.11,
wine,wine,129,129,13,mid,0.0775,CL2,ok,0.5,0.07751937984496124,0.01,
WPBC,wisconsin_breast,198,198,33,mid,0.2374,TR4,ok,0.4779484289136255,0.2229031019892984,0.26,
WPBC,wisconsin_breast,198,198,33,mid,0.2374,SV3,ok,0.4847118500774975,0.22305095961552465,0.02,
WPBC,wisconsin_breast,198,198,33,mid,0.2374,IB3,ok,0.5193743835423419,0.23159866383451153,0.01,
WPBC,wisconsin_breast,198,198,33,mid,0.2374,IB4,ok,0.5011272368606454,0.22668490941838,0.01,
WPBC,wisconsin_breast,198,198,33,mid,0.2374,PR6,ok,0.501479498379597,0.23491849296997397,0.16,
WPBC,wisconsin_breast,198,198,33,mid,0.2374,CL2,ok,0.5,0.23737373737373738,0.01,
yeast,yeast,1484,1484,8,low,0.3416,TR4,ok,0.392702775271077,0.3056101896886615,0.29,
yeast,yeast,1484,1484,8,low,0.3416,SV3,ok,0.41968227819735576,0.3049812114930266,0.19,
yeast,yeast,1484,1484,8,low,0.3416,IB3,ok,0.45693757204661856,0.3180753069839555,0.1,
yeast,yeast,1484,1484,8,low,0.3416,IB4,ok,0.4032945114356027,0.30014524469793885,0.09,
yeast,yeast,1484,1484,8,low,0.3416,PR6,ok,0.41147981483388146,0.2993948711107313,1.14,
yeast,yeast,1484,1484,8,low,0.3416,CL2,ok,0.4623974692079566,0.32563206734254263,0.07,
speech,speech,3686,3686,400,high,0.0165,TR4,ok,0.4520293951384963,0.016724340626376875,0.44,
speech,speech,3686,3686,400,high,0.0165,SV3,ok,0.4662521198417185,0.018363209986778428,11.99,
speech,speech,3686,3686,400,high,0.0165,IB3,ok,0.5078168456755229,0.02490309754340647,0.78,
speech,speech,3686,3686,400,high,0.0165,IB4,ok,0.48531825890333524,0.019262406831948388,0.78,
speech,speech,3686,3686,400,high,0.0165,PR6,ok,0.49315093273035615,0.02071166777729711,110.0,
speech,speech,3686,3686,400,high,0.0165,CL2,ok,0.5,0.016549104720564298,0.35,
