dataset,unit,rows,sampled,columns,kind,anomaly_share,detector,status,auc,ap,seconds,detail
cover,cover,286048,5000,10,low,0.0096,SV3,ok,0.9545890549273021,0.110411988242076,2.59,
cover,cover,286048,5000,10,low,0.0096,IB3,ok,0.951719843834141,0.12126752535867252,0.62,
cover,cover,286048,5000,10,low,0.0096,IB4,ok,0.8958375403877221,0.06079595146343774,0.36,
cover,cover,286048,5000,10,low,0.0096,PR6,ok,0.6695569130317717,0.019618938027880603,7.01,
cover,cover,286048,5000,10,low,0.0096,CL2,ok,0.5065630048465266,0.009726443768996961,0.28,
donors,donors,619326,5000,10,low,0.0592,TR4,ok,0.7618997345559846,0.1241814680110405,0.42,
donors,donors,619326,5000,10,low,0.0592,SV3,ok,0.7640004481522339,0.14778440182075986,2.51,
donors,donors,619326,5000,10,low,0.0592,IB3,ok,0.610323732533554,0.08861597123360394,0.28,
donors,donors,619326,5000,10,low,0.0592,IB4,ok,0.8394710079977936,0.18461776423666884,0.22,
donors,donors,619326,5000,10,low,0.0592,PR6,ok,0.7537252654440154,0.13060346462788808,1.96,
donors,donors,619326,5000,10,low,0.0592,CL2,ok,0.6268874103695532,0.10330326916614661,0.53,
fault,fault,1941,1941,27,mid,0.3467,TR4,ok,0.5601408074397326,0.4049556685767192,0.35,
fault,fault,1941,1941,27,mid,0.3467,SV3,ok,0.5385509583249353,0.4018023992759225,0.51,
fault,fault,1941,1941,27,mid,0.3467,IB3,ok,0.5953110278849354,0.39664383782107127,0.09,
fault,fault,1941,1941,27,mid,0.3467,IB4,ok,0.7228503897516183,0.5318486157436717,0.06,
fault,fault,1941,1941,27,mid,0.3467,PR6,ok,0.47621530788737276,0.3166464027152039,1.77,
fault,fault,1941,1941,27,mid,0.3467,CL2,ok,0.5758011821450167,0.384854804927862,0.04,
fraud,fraud,284807,5000,29,mid,0.004,TR4,ok,0.9151606425702811,0.455319041479752,0.36,
fraud,fraud,284807,5000,29,mid,0.004,SV3,ok,0.9160441767068274,0.23080572376634875,3.79,
fraud,fraud,284807,5000,29,mid,0.004,IB3,ok,0.9707831325301205,0.49529699950087713,0.37,
fraud,fraud,284807,5000,29,mid,0.004,IB4,ok,0.9269728915662652,0.268175077753999,0.32,
fraud,fraud,284807,5000,29,mid,0.004,PR6,ok,0.9355321285140562,0.7678922144880385,7.09,
fraud,fraud,284807,5000,29,mid,0.004,CL2,ok,0.51285140562249,0.004105090311986864,0.25,
glass,glass,214,214,7,low,0.0421,TR4,ok,0.7983739837398374,0.21153728512196363,0.3,
glass,glass,214,214,7,low,0.0421,SV3,ok,0.5994579945799458,0.18357798339362566,0.01,
glass,glass,214,214,7,low,0.0421,IB3,ok,0.7674796747967481,0.10399341068786158,0.01,
glass,glass,214,214,7,low,0.0421,IB4,ok,0.8680216802168021,0.16133169978012263,0.01,
glass,glass,214,214,7,low,0.0421,PR6,ok,0.7924119241192411,0.11082605518107802,0.1,
glass,glass,214,214,7,low,0.0421,CL2,ok,0.748780487804878,0.08035714285714286,0.01,
Hepatitis,Hepatitis,80,80,19,mid,0.1625,TR4,ok,0.7359357060849598,0.2724635002491014,0.3,
Hepatitis,Hepatitis,80,80,19,mid,0.1625,SV3,ok,0.7210103329506314,0.277512886723413,0.01,
Hepatitis,Hepatitis,80,80,19,mid,0.1625,IB3,ok,0.7095292766934558,0.25342724063203137,0.01,
Hepatitis,Hepatitis,80,80,19,mid,0.1625,IB4,ok,0.7399540757749714,0.2815073042113068,0.01,
Hepatitis,Hepatitis,80,80,19,mid,0.1625,PR6,ok,0.7049368541905856,0.3205457815186322,0.13,
Hepatitis,Hepatitis,80,80,19,mid,0.1625,CL2,ok,0.5,0.1625,0.01,
http,kddcup99,567498,5000,3,low,0.004,TR4,ok,0.9996385542168674,0.9181818181818181,0.37,
http,kddcup99,567498,5000,3,low,0.004,SV3,ok,0.9942168674698795,0.4461538461538462,2.4,
http,kddcup99,567498,5000,3,low,0.004,IB3,ok,0.9786345381526104,0.21973782031921565,0.14,
http,kddcup99,567498,5000,3,low,0.004,IB4,ok,0.10054216867469878,0.027885714285714285,0.08,
http,kddcup99,567498,5000,3,low,0.004,PR6,ok,0.9991967871485944,0.7951449275362319,2.64,
http,kddcup99,567498,5000,3,low,0.004,CL2,ok,0.5463855421686747,0.008863157894736842,0.44,
InternetAds,InternetAds,1966,1966,1555,high,0.1872,TR4,ok,0.6911603158839854,0.5070558821734027,0.36,
InternetAds,InternetAds,1966,1966,1555,high,0.1872,SV3,ok,0.6157578086738859,0.2925451633979059,14.87,
InternetAds,InternetAds,1966,1966,1555,high,0.1872,IB3,ok,0.6099004530119171,0.24462165307810524,0.84,
InternetAds,InternetAds,1966,1966,1555,high,0.1872,IB4,ok,0.6453872367633454,0.27137023143904093,0.9,
InternetAds,InternetAds,1966,1966,1555,high,0.1872,PR6,error,,,0.1,"ValueError: needs more than twice as many rows as columns, has 1966 for 1555"
InternetAds,InternetAds,1966,1966,1555,high,0.1872,CL2,ok,0.5,0.1871820956256358,0.88,
Ionosphere,Ionosphere,351,351,32,mid,0.359,TR4,ok,0.8370017636684304,0.7881270786135376,0.3,
Ionosphere,Ionosphere,351,351,32,mid,0.359,SV3,ok,0.8485008818342152,0.8392137238840728,0.03,
Ionosphere,Ionosphere,351,351,32,mid,0.359,IB3,ok,0.867689594356261,0.8312612869546665,0.02,
Ionosphere,Ionosphere,351,351,32,mid,0.359,IB4,ok,0.9270017636684303,0.9277524786182387,0.01,
Ionosphere,Ionosphere,351,351,32,mid,0.359,PR6,ok,0.9549911816578484,0.9505606062112453,0.18,
Ionosphere,Ionosphere,351,351,32,mid,0.359,CL2,ok,0.54,0.3783783783783784,0.01,
landsat,statlog_landsat,6435,5000,36,mid,0.2072,TR4,ok,0.4552129883234828,0.1881942856181384,0.43,
landsat,statlog_landsat,6435,5000,36,mid,0.2072,SV3,ok,0.4136638530558813,0.17234155280772231,3.7,
landsat,statlog_landsat,6435,5000,36,mid,0.2072,IB3,ok,0.5373365112265213,0.2502017163925782,0.37,
landsat,statlog_landsat,6435,5000,36,mid,0.2072,IB4,ok,0.5842114503504514,0.2525180993844285,0.33,
landsat,statlog_landsat,6435,5000,36,mid,0.2072,PR6,ok,0.6004126423526019,0.24876027755532903,6.07,
landsat,statlog_landsat,6435,5000,36,mid,0.2072,CL2,ok,0.5,0.2072,0.25,
letter,letter,1600,1600,32,mid,0.0625,TR4,ok,0.64304,0.09198265696933874,0.36,
letter,letter,1600,1600,32,mid,0.0625,SV3,ok,0.5978466666666667,0.11257672944005058,0.24,
letter,letter,1600,1600,32,mid,0.0625,IB3,ok,0.8982466666666666,0.4730333532910553,0.04,
letter,letter,1600,1600,32,mid,0.0625,IB4,ok,0.8930199999999999,0.3304030626088762,0.04,
letter,letter,1600,1600,32,mid,0.0625,PR6,ok,0.7964266666666666,0.16557613239374272,3.21,
letter,letter,1600,1600,32,mid,0.0625,CL2,ok,0.5,0.0625,0.04,
Lymphography,Lymphography,148,148,18,mid,0.0405,TR4,ok,1.0,1.0,0.29,
Lymphography,Lymphography,148,148,18,mid,0.0405,SV3,ok,0.9953051643192489,0.8734126984126983,0.01,
Lymphography,Lymphography,148,148,18,mid,0.0405,IB3,ok,0.9929577464788732,0.8416666666666666,0.01,
Lymphography,Lymphography,148,148,18,mid,0.0405,IB4,ok,0.9964788732394366,0.915079365079365,0.0,
Lymphography,Lymphography,148,148,18,mid,0.0405,PR6,ok,0.9929577464788732,0.7999999999999999,0.09,
Lymphography,Lymphography,148,148,18,mid,0.0405,CL2,ok,0.5,0.04054054054054054,0.01,
magic.gamma,magic.gamma,19020,5000,10,low,0.3516,TR4,ok,0.7273875871226556,0.6337315529246269,0.22,
magic.gamma,magic.gamma,19020,5000,10,low,0.3516,SV3,ok,0.6773989566686949,0.6259878833846173,2.59,
magic.gamma,magic.gamma,19020,5000,10,low,0.3516,IB3,ok,0.7048325483433799,0.5580351830634395,0.51,
magic.gamma,magic.gamma,19020,5000,10,low,0.3516,IB4,ok,0.7968366519073116,0.7230450922569277,0.37,
magic.gamma,magic.gamma,19020,5000,10,low,0.3516,PR6,ok,0.6976151675358755,0.6303011730317329,3.6,
magic.gamma,magic.gamma,19020,5000,10,low,0.3516,CL2,ok,0.5566089346384449,0.37948921427343335,0.32,
mammography,mammography,11183,5000,6,low,0.0232,TR4,ok,0.8633168827134348,0.2250109499211831,0.34,
mammography,mammography,11183,5000,6,low,0.0232,SV3,ok,0.8755648281510351,0.19792166020634383,2.29,
mammography,mammography,11183,5000,6,low,0.0232,IB3,ok,0.7409327430879155,0.12522196756143725,0.2,
mammography,mammography,11183,5000,6,low,0.0232,IB4,ok,0.8466385664661527,0.1668126295843729,0.15,
mammography,mammography,11183,5000,6,low,0.0232,PR6,ok,0.7974367392470841,0.0672586640329585,2.14,
mammography,mammography,11183,5000,6,low,0.0232,CL2,ok,0.7049655454827869,0.06686879979603544,0.33,
mnist,mnist,7603,5000,100,high,0.092,TR4,ok,0.7722773415054587,0.23757951591003967,0.41,
mnist,mnist,7603,5000,100,high,0.092,SV3,ok,0.8563972419076806,0.40823848073487534,6.03,
mnist,mnist,7603,5000,100,high,0.092,IB3,ok,0.7048745451063014,0.29729550062724186,0.64,
mnist,mnist,7603,5000,100,high,0.092,IB4,ok,0.8514891783183299,0.4164663499507419,0.59,
mnist,mnist,7603,5000,100,high,0.092,PR6,ok,0.8653174679180234,0.3215341325933664,7.22,
mnist,mnist,7603,5000,100,high,0.092,CL2,ok,0.5,0.092,0.39,
musk,musk,3062,3062,166,high,0.0317,TR4,ok,1.0,1.0,0.41,
musk,musk,3062,3062,166,high,0.0317,SV3,ok,1.0,0.9999999999999998,2.79,
musk,musk,3062,3062,166,high,0.0317,IB3,ok,0.6367900418977417,0.20527469909861037,0.36,
musk,musk,3062,3062,166,high,0.0317,IB4,ok,0.7589854140227047,0.24004245983915934,0.32,
musk,musk,3062,3062,166,high,0.0317,PR6,ok,0.9999617530988683,0.9988298292368973,52.23,
musk,musk,3062,3062,166,high,0.0317,CL2,ok,0.5,0.03167864141084259,0.26,
optdigits,optdigits,5216,5000,64,high,0.0288,TR4,ok,0.7830518945634267,0.06963509381622907,0.43,
optdigits,optdigits,5216,5000,64,high,0.0288,SV3,ok,0.504067133443163,0.02645238384982721,4.39,
optdigits,optdigits,5216,5000,64,high,0.0288,IB3,ok,0.5365198265604979,0.03532478315843188,0.48,
optdigits,optdigits,5216,5000,64,high,0.0288,IB4,ok,0.3976566790225151,0.022203270659026653,0.4,
optdigits,optdigits,5216,5000,64,high,0.0288,PR6,ok,0.40464831594362066,0.02199100339592457,3.86,
optdigits,optdigits,5216,5000,64,high,0.0288,CL2,ok,0.5,0.0288,0.34,
PageBlocks,PageBlocks,5393,5000,10,low,0.0946,TR4,ok,0.9007944347072369,0.4916580144192016,0.39,
PageBlocks,PageBlocks,5393,5000,10,low,0.0946,SV3,ok,0.9135821668532381,0.5304424298923266,2.7,
PageBlocks,PageBlocks,5393,5000,10,low,0.0946,IB3,ok,0.7258637510151681,0.2977040201810594,0.41,
PageBlocks,PageBlocks,5393,5000,10,low,0.0946,IB4,ok,0.8582334977683815,0.47649505537481834,0.32,
PageBlocks,PageBlocks,5393,5000,10,low,0.0946,PR6,ok,0.9235113164097397,0.623042072511547,3.19,
PageBlocks,PageBlocks,5393,5000,10,low,0.0946,CL2,ok,0.7052304449086547,0.29145419797793737,0.84,
pendigits,pendigits,6870,5000,16,mid,0.0228,TR4,ok,0.9604185966348536,0.3210813618534729,0.4,
pendigits,pendigits,6870,5000,16,mid,0.0228,SV3,ok,0.9299215086426669,0.21780593263667772,2.75,
pendigits,pendigits,6870,5000,16,mid,0.0228,IB3,ok,0.4914937774235014,0.04254544755802697,0.36,
pendigits,pendigits,6870,5000,16,mid,0.0228,IB4,ok,0.7612835814464528,0.08594553618696539,0.33,
pendigits,pendigits,6870,5000,16,mid,0.0228,PR6,ok,0.8079834256127425,0.061638875199327425,5.64,
pendigits,pendigits,6870,5000,16,mid,0.0228,CL2,ok,0.5099263200982398,0.023251070772996124,0.18,
Pima,Pima,768,768,8,low,0.349,TR4,ok,0.660320895522388,0.4895787259800549,0.29,
Pima,Pima,768,768,8,low,0.349,SV3,ok,0.623731343283582,0.4638575158142622,0.06,
Pima,Pima,768,768,8,low,0.349,IB3,ok,0.6032761194029852,0.41773673854226007,0.03,
Pima,Pima,768,768,8,low,0.349,IB4,ok,0.7134664179104477,0.5299884614041357,0.02,
Pima,Pima,768,768,8,low,0.349,PR6,ok,0.6867014925373135,0.4915339344536843,1.38,
Pima,Pima,768,768,8,low,0.349,CL2,ok,0.5,0.3489583333333333,0.02,
satellite,statlog_landsat,6435,5000,36,mid,0.3164,TR4,ok,0.6980747792418955,0.647659104770544,0.38,
satellite,statlog_landsat,6435,5000,36,mid,0.3164,SV3,ok,0.6650130305906339,0.6563068310391685,4.07,
satellite,statlog_landsat,6435,5000,36,mid,0.3164,IB3,ok,0.5557315735316637,0.38423609881554455,0.42,
satellite,statlog_landsat,6435,5000,36,mid,0.3164,IB4,ok,0.6828019320633902,0.5385475898184584,0.33,
satellite,statlog_landsat,6435,5000,36,mid,0.3164,PR6,ok,0.8077664243511891,0.767646876214691,6.7,
satellite,statlog_landsat,6435,5000,36,mid,0.3164,CL2,ok,0.5,0.3164,0.24,
census,census,299285,5000,500,high,0.062,TR4,ok,0.6040800605268588,0.07218182396609932,0.44,
census,census,299285,5000,500,high,0.062,SV3,ok,0.6588940092165899,0.08610377228020044,30.85,
census,census,299285,5000,500,high,0.062,IB3,ok,0.5343740972556572,0.0602628235241775,1.76,
census,census,299285,5000,500,high,0.062,IB4,ok,0.6765950202902539,0.09012170959414653,1.52,
census,census,299285,5000,500,high,0.062,PR6,ok,0.6790102482976821,0.13015205640345287,170.47,
census,census,299285,5000,500,high,0.062,CL2,ok,0.5961620469083155,0.07564665690580771,1.52,
satimage-2,statlog_landsat,5803,5000,36,mid,0.0122,TR4,ok,0.9921534524477311,0.9126629114279249,0.39,
satimage-2,statlog_landsat,5803,5000,36,mid,0.0122,SV3,ok,0.9962858347246241,0.9618407391303553,4.19,
satimage-2,statlog_landsat,5803,5000,36,mid,0.0122,IB3,ok,0.5462445109018551,0.033816324612592055,0.39,
satimage-2,statlog_landsat,5803,5000,36,mid,0.0122,IB4,ok,0.9414861307957076,0.3986907266629149,0.37,
satimage-2,statlog_landsat,5803,5000,36,mid,0.0122,PR6,ok,0.9961331523272449,0.722941324158218,5.83,
satimage-2,statlog_landsat,5803,5000,36,mid,0.0122,CL2,ok,0.5,0.0122,0.24,
shuttle,shuttle,49097,5000,9,low,0.0716,TR4,ok,0.9973619538871465,0.9760686845064677,0.41,
shuttle,shuttle,49097,5000,9,low,0.0716,SV3,ok,0.9909961031052402,0.921392186590227,2.52,
shuttle,shuttle,49097,5000,9,low,0.0716,IB3,ok,0.5522650851227197,0.1275154160654898,0.54,
shuttle,shuttle,49097,5000,9,low,0.0716,IB4,ok,0.7618369080944208,0.19924604056574421,0.44,
shuttle,shuttle,49097,5000,9,low,0.0716,PR6,ok,0.9871647984518328,0.8120334451586757,4.39,
shuttle,shuttle,49097,5000,9,low,0.0716,CL2,ok,0.5357706777323394,0.11145139664804468,1.2,
skin,skin,245057,5000,3,low,0.2076,TR4,ok,0.6471384219448927,0.24188724694422573,0.38,
skin,skin,245057,5000,3,low,0.2076,SV3,ok,0.5463628945113452,0.22163342959975324,2.19,
skin,skin,245057,5000,3,low,0.2076,IB3,ok,0.44952433474462117,0.17902051923053114,0.08,
skin,skin,245057,5000,3,low,0.2076,IB4,ok,0.732524979599062,0.30030597704202017,0.05,
skin,skin,245057,5000,3,low,0.2076,PR6,ok,0.8902650808888681,0.48843622782163365,2.53,
skin,skin,245057,5000,3,low,0.2076,CL2,ok,0.49545683997980816,0.2076,0.24,
smtp,kddcup99,95156,5000,3,low,0.004,TR4,ok,0.9325953815261043,0.10133635890106374,0.39,
smtp,kddcup99,95156,5000,3,low,0.004,SV3,ok,0.8856425702811245,0.5160854090410908,2.28,
smtp,kddcup99,95156,5000,3,low,0.004,IB3,ok,0.8947590361445783,0.04784645170710329,0.13,
smtp,kddcup99,95156,5000,3,low,0.004,IB4,ok,0.9458383534136546,0.42196773946489485,0.07,
smtp,kddcup99,95156,5000,3,low,0.004,PR6,ok,0.9625100401606426,0.07261831467228454,2.84,
smtp,kddcup99,95156,5000,3,low,0.004,CL2,ok,0.8448795180722891,0.15196923076923077,0.35,
SpamBase,SpamBase,4207,4207,57,high,0.3991,TR4,ok,0.6374573802594974,0.4855421870080037,0.33,
SpamBase,SpamBase,4207,4207,57,high,0.3991,SV3,ok,0.5337006939784833,0.4019587016283547,3.58,
SpamBase,SpamBase,4207,4207,57,high,0.3991,IB3,ok,0.4568117606923953,0.3594121851871341,0.33,
SpamBase,SpamBase,4207,4207,57,high,0.3991,IB4,ok,0.5011071944195234,0.398223232710061,0.27,
SpamBase,SpamBase,4207,4207,57,high,0.3991,PR6,ok,0.43459884198701754,0.33845003776076854,5.57,
SpamBase,SpamBase,4207,4207,57,high,0.3991,CL2,ok,0.46648189473842927,0.3837103012669955,0.21,
Stamps,Stamps,340,340,9,low,0.0912,TR4,ok,0.8867313915857604,0.2996401965255653,0.29,
Stamps,Stamps,340,340,9,low,0.0912,SV3,ok,0.8718029021818561,0.2937210164621248,0.02,
Stamps,Stamps,340,340,9,low,0.0912,IB3,ok,0.6035076730347635,0.17531807243912767,0.02,
Stamps,Stamps,340,340,9,low,0.0912,IB4,ok,0.8331767407871384,0.26564733338874447,0.02,
Stamps,Stamps,340,340,9,low,0.0912,PR6,ok,0.8438250339283849,0.2505249031717817,0.17,
Stamps,Stamps,340,340,9,low,0.0912,CL2,ok,0.5242718446601942,0.09538461538461539,0.02,
thyroid,thyroid,3772,3772,6,low,0.0247,TR4,ok,0.974879218581487,0.46784102261422084,0.39,
thyroid,thyroid,3772,3772,6,low,0.0247,SV3,ok,0.9586025889456872,0.31837544739543006,1.22,
thyroid,thyroid,3772,3772,6,low,0.0247,IB3,ok,0.6735350594919728,0.07523994528177895,0.25,
thyroid,thyroid,3772,3772,6,low,0.0247,IB4,ok,0.9604365959660615,0.283913665146305,0.15,
thyroid,thyroid,3772,3772,6,low,0.0247,PR6,ok,0.9855179206598333,0.6963977960229788,3.13,
thyroid,thyroid,3772,3772,6,low,0.0247,CL2,ok,0.8759772846174305,0.09457677216352424,0.23,
vertebral,vertebral,240,240,6,low,0.125,TR4,ok,0.39142857142857146,0.09877056755757721,0.3,
vertebral,vertebral,240,240,6,low,0.125,SV3,ok,0.4196825396825397,0.10254721614896681,0.02,
vertebral,vertebral,240,240,6,low,0.125,IB3,ok,0.43825396825396823,0.11002350831636032,0.01,
vertebral,vertebral,240,240,6,low,0.125,IB4,ok,0.3793650793650794,0.0972135783721072,0.01,
vertebral,vertebral,240,240,6,low,0.125,PR6,ok,0.386984126984127,0.09742253222105625,0.14,
vertebral,vertebral,240,240,6,low,0.125,CL2,ok,0.4428571428571429,0.11383928571428571,0.01,
vowels,vowels,1456,1456,12,mid,0.0343,TR4,ok,0.7755761024182076,0.17291771500134903,0.34,
vowels,vowels,1456,1456,12,mid,0.0343,SV3,ok,0.7784352773826457,0.1951953393035272,0.22,
vowels,vowels,1456,1456,12,mid,0.0343,IB3,ok,0.9429871977240398,0.32571635635265583,0.08,
vowels,vowels,1456,1456,12,mid,0.0343,IB4,ok,0.9748648648648649,0.5325075853755139,0.07,
vowels,vowels,1456,1456,12,mid,0.0343,PR6,ok,0.6857894736842105,0.05335250059085922,2.32,
vowels,vowels,1456,1456,12,mid,0.0343,CL2,ok,0.5,0.034340659340659344,0.05,
Waveform,Waveform,3443,3443,21,mid,0.029,TR4,ok,0.7204576727490277,0.05505599892091577,0.34,
Waveform,Waveform,3443,3443,21,mid,0.029,SV3,ok,0.6717648818426563,0.052661633965998204,1.36,
Waveform,Waveform,3443,3443,21,mid,0.029,IB3,ok,0.7077834280586299,0.07563250448548006,0.19,
Waveform,Waveform,3443,3443,21,mid,0.029,IB4,ok,0.7339320969189351,0.10650824139477205,0.15,
Waveform,Waveform,3443,3443,21,mid,0.029,PR6,ok,0.5725934789111576,0.03929145361898831,4.1,
Waveform,Waveform,3443,3443,21,mid,0.029,CL2,ok,0.5,0.02904443799012489,0.06,
WBC,wisconsin_breast,223,223,9,low,0.0448,TR4,ok,0.9948356807511738,0.9476190476190477,0.26,
WBC,wisconsin_breast,223,223,9,low,0.0448,SV3,ok,0.9924882629107981,0.9036616161616161,0.01,
WBC,wisconsin_breast,223,223,9,low,0.0448,IB3,ok,0.8342723004694835,0.13023808508975462,0.01,
WBC,wisconsin_breast,223,223,9,low,0.0448,IB4,ok,0.9845070422535211,0.7508730158730158,0.01,
WBC,wisconsin_breast,223,223,9,low,0.0448,PR6,ok,0.9765258215962441,0.7490142754848637,0.12,
WBC,wisconsin_breast,223,223,9,low,0.0448,CL2,ok,0.5,0.04484304932735426,0.01,
WDBC,wisconsin_breast,367,367,30,mid,0.0272,TR4,ok,0.9831932773109244,0.5251803751803751,0.32,
WDBC,wisconsin_breast,367,367,30,mid,0.0272,SV3,ok,0.9826330532212886,0.49357448107448104,0.03,
WDBC,wisconsin_breast,367,367,30,mid,0.0272,IB3,ok,0.9820728291316526,0.5348359048359048,0.02,
WDBC,wisconsin_breast,367,367,30,mid,0.0272,IB4,ok,0.9770308123249299,0.43783475190797844,0.01,
WDBC,wisconsin_breast,367,367,30,mid,0.0272,PR6,ok,0.9703081232492998,0.3819837498657825,0.21,
WDBC,wisconsin_breast,367,367,30,mid,0.0272,CL2,ok,0.5,0.027247956403269755,0.01,
Wilt,Wilt,4819,4819,5,low,0.0533,TR4,ok,0.42520005390495336,0.042003484366890276,0.37,
Wilt,Wilt,4819,4819,5,low,0.0533,SV3,ok,0.3170481238176307,0.03542238430876127,2.01,
Wilt,Wilt,4819,4819,5,low,0.0533,IB3,ok,0.6984930495021469,0.08623047080902833,0.21,
Wilt,Wilt,4819,4819,5,low,0.0533,IB4,ok,0.6027328617218539,0.060180155224775364,0.13,
Wilt,Wilt,4819,4819,5,low,0.0533,PR6,ok,0.8595835671773422,0.15403021678164955,3.89,
