metric,strategy,dataset,unit,kind,pick,regret
auc,kind,WDBC,wisconsin_breast,mid,IB4,0.006162464985994376
auc,kind,WPBC,wisconsin_breast,mid,IB4,0.01824714668169647
auc,kind,breastw,wisconsin_breast,low,PR6,0.0
auc,fixed,yeast,yeast,low,TR4,0.0696946939368796
auc,kind,yeast,yeast,low,TR4,0.0696946939368796
ap,fixed,ALOI,ALOI,mid,TR4,0.030261480877515706
ap,kind,ALOI,ALOI,mid,IB4,0.02055871436730241
ap,fixed,Hepatitis,Hepatitis,mid,TR4,0.04808228126953085
ap,kind,Hepatitis,Hepatitis,mid,IB4,0.0390384773073254
ap,fixed,InternetAds,InternetAds,high,TR4,0.0
ap,kind,InternetAds,InternetAds,high,SV3,0.21451071877549677
ap,fixed,Ionosphere,Ionosphere,mid,TR4,0.16243352759770757
ap,kind,Ionosphere,Ionosphere,mid,IB4,0.022808127593006322
ap,fixed,Lymphography,Lymphography,mid,TR4,0.0
ap,kind,Lymphography,Lymphography,mid,IB4,0.08492063492063495
ap,fixed,PageBlocks,PageBlocks,low,TR4,0.13138405809234538
ap,kind,PageBlocks,PageBlocks,low,TR4,0.13138405809234538
ap,fixed,Pima,Pima,low,TR4,0.04040973542408077
ap,kind,Pima,Pima,low,TR4,0.04040973542408077
ap,fixed,SpamBase,SpamBase,high,TR4,0.0
ap,kind,SpamBase,SpamBase,high,SV3,0.08358348537964905
ap,fixed,Stamps,Stamps,low,TR4,0.0
ap,kind,Stamps,Stamps,low,TR4,0.0
ap,fixed,Waveform,Waveform,mid,TR4,0.0514522424738563
ap,kind,Waveform,Waveform,mid,IB4,0.0
ap,fixed,Wilt,Wilt,low,TR4,0.1120267324147593
ap,kind,Wilt,Wilt,low,TR4,0.1120267324147593
ap,fixed,backdoor,backdoor,high,TR4,0.46264983232746737
ap,kind,backdoor,backdoor,high,TR4,0.46264983232746737
ap,fixed,campaign,campaign,high,TR4,0.010426295336574687
ap,kind,campaign,campaign,high,SV3,0.04596245105489
ap,fixed,Cardiotocography,cardiotocography,mid,TR4,0.006295952495649404
ap,fixed,cardio,cardiotocography,mid,TR4,0.0
ap,kind,Cardiotocography,cardiotocography,mid,IB4,0.11155492159274921
ap,kind,cardio,cardiotocography,mid,IB4,0.23174322526336572
ap,fixed,celeba,celeba,mid,TR4,0.0880843653753159
ap,kind,celeba,celeba,mid,IB4,0.0812405660770287
ap,fixed,census,census,high,TR4,0.05797023243735348
ap,kind,census,census,high,TR4,0.05797023243735348
ap,fixed,cover,cover,low,TR4,0.028199399083202598
ap,kind,cover,cover,low,TR4,0.028199399083202598
ap,fixed,donors,donors,low,TR4,0.06043629622562831
ap,kind,donors,donors,low,TR4,0.06043629622562831
ap,fixed,fault,fault,mid,TR4,0.12689294716695249
ap,kind,fault,fault,mid,IB4,0.0
ap,fixed,fraud,fraud,mid,TR4,0.31257317300828646
ap,kind,fraud,fraud,mid,IB4,0.49971713673403945
ap,fixed,glass,glass,low,TR4,0.0
ap,kind,glass,glass,low,TR4,0.0
