dataset,task,family,rows,features,signature,best_model,best,first_model,first,top4,boosting,tuned,tabpfn,eligible_mean,eligible_worst,best_ruled_out,best_ruled_out_model,ruled_out_why,n_eligible,n_ruled_out,regret_first,regret_top4,regret_boosting,regret_eligible_mean
579_fri_c0_250_5,regression,friedman,250,5,A11 A21 A31 A41 A53 A61,NN2,0.8872,EN2,0.8197,0.8361,0.8436,0.8223,,0.6767,-0.0336,,,,19,0,0.0675,0.0511,0.0436,0.2105
581_fri_c3_500_25,regression,friedman,500,25,A11 A21 A31 A41 A53 A61,EN4,0.8927,EN2,0.8917,0.8927,0.8911,0.9067,,0.3234,-2.2858,,,,19,0,0.0009,0.0,0.0015,0.5692
582_fri_c1_500_25,regression,friedman,500,25,A11 A21 A31 A41 A53 A61,EN2,0.8852,EN2,0.8852,0.8852,0.8758,0.8893,,0.2878,-2.5526,,,,19,0,0.0,0.0,0.0094,0.5974
583_fri_c1_1000_50,regression,friedman,1000,50,A11 A21 A31 A41 A53 A61,EN2,0.9231,EN2,0.9231,0.9231,0.9174,0.9281,,0.4032,-0.7749,,,,19,0,0.0,0.0,0.0057,0.5199
584_fri_c4_500_25,regression,friedman,500,25,A11 A21 A31 A41 A53 A61,BASE-HGB,0.88,EN2,0.8685,0.873,0.88,0.9005,,0.3444,-1.6318,,,,19,0,0.0114,0.007,0.0,0.5355
586_fri_c3_1000_25,regression,friedman,1000,25,A11 A21 A31 A41 A53 A61,EN4,0.9263,EN2,0.9235,0.9263,0.9253,0.9376,,0.4999,-0.0051,,,,19,0,0.0029,0.0,0.001,0.4265
588_fri_c4_1000_100,regression,friedman,1000,100,A11 A21 A31 A41 A53 A61,EN2,0.921,EN2,0.921,0.921,0.9126,0.9281,,0.436,-0.0846,,,,19,0,0.0,0.0,0.0084,0.485
589_fri_c2_1000_25,regression,friedman,1000,25,A11 A21 A31 A41 A53 A61,EN2,0.9219,EN2,0.9219,0.9219,0.9202,0.9371,,0.4508,-0.2896,,,,19,0,0.0,0.0,0.0016,0.4711
590_fri_c0_1000_50,regression,friedman,1000,50,A11 A21 A31 A41 A53 A61,EN2,0.8874,EN2,0.8874,0.8874,0.8802,0.8942,,0.6075,-0.0032,,,,19,0,0.0,0.0,0.0072,0.2799
592_fri_c4_1000_25,regression,friedman,1000,25,A11 A21 A31 A41 A53 A61,TR3,0.9152,EN2,0.906,0.9152,0.914,0.935,,0.4758,-0.0247,,,,19,0,0.0093,0.0,0.0012,0.4394
593_fri_c1_1000_10,regression,friedman,1000,10,A11 A21 A31 A41 A53 A61,EN2,0.9391,EN2,0.9391,0.9391,0.9351,0.9465,,0.581,-0.0076,,,,19,0,0.0,0.0,0.004,0.3581
595_fri_c0_1000_10,regression,friedman,1000,10,A11 A21 A31 A41 A53 A61,NN2,0.9185,EN2,0.897,0.897,0.896,0.9112,,0.7064,-0.0074,,,,19,0,0.0215,0.0215,0.0225,0.2121
596_fri_c2_250_5,regression,friedman,250,5,A11 A21 A31 A41 A54 A61,TR3,0.891,EN2,0.8678,0.891,0.855,0.8693,,0.5611,-0.027,,,,19,0,0.0232,0.0,0.036,0.3299
597_fri_c2_500_5,regression,friedman,500,5,A11 A21 A31 A41 A53 A61,NN2,0.9407,EN2,0.9173,0.928,0.924,0.9306,,0.6101,-0.0448,,,,19,0,0.0234,0.0127,0.0167,0.3306
598_fri_c0_1000_25,regression,friedman,1000,25,A11 A21 A31 A41 A53 A61,EN2,0.9009,EN2,0.9009,0.9009,0.895,0.9064,,0.6654,-0.0028,,,,19,0,0.0,0.0,0.0059,0.2355
599_fri_c2_1000_5,regression,friedman,1000,5,A11 A21 A31 A41 A53 A61,NN2,0.9487,EN2,0.9397,0.9486,0.9446,0.9536,,0.6438,-0.0066,,,,19,0,0.009,0.0001,0.004,0.3049
601_fri_c1_250_5,regression,friedman,250,5,A11 A21 A31 A41 A53 A61,NN2,0.9014,EN2,0.8822,0.8977,0.8883,0.8933,,0.5753,-0.028,,,,19,0,0.0192,0.0037,0.013,0.326
602_fri_c3_250_10,regression,friedman,250,10,A11 A21 A31 A41 A53 A61,TR3,0.8467,EN2,0.822,0.8467,0.8364,0.8351,,0.4518,-0.0248,,,,19,0,0.0247,0.0,0.0103,0.3949
603_fri_c0_250_50,regression,friedman,250,50,A11 A21 A31 A42 A54 A61,EN4,0.7948,EN2,0.7436,0.7948,0.7834,0.7894,,0.4909,-0.0324,,,,19,0,0.0512,0.0,0.0114,0.3039
604_fri_c4_500_10,regression,friedman,500,10,A11 A21 A31 A41 A53 A61,TR3,0.9128,EN2,0.8976,0.9128,0.9,0.9181,,0.5489,-0.0087,,,,19,0,0.0152,0.0,0.0128,0.3639
605_fri_c2_250_25,regression,friedman,250,25,A11 A21 A31 A41 A54 A61,EN2,0.8553,EN2,0.8553,0.8553,0.8282,0.8349,,0.389,-0.2859,,,,19,0,0.0,0.0,0.0271,0.4664
606_fri_c2_1000_10,regression,friedman,1000,10,A11 A21 A31 A41 A53 A61,BASE-HGB,0.9344,EN2,0.9292,0.9327,0.9344,0.9439,,0.5964,-0.0061,,,,19,0,0.0052,0.0017,0.0,0.338
607_fri_c4_1000_50,regression,friedman,1000,50,A11 A21 A31 A41 A53 A61,BASE-HGB,0.9163,EN2,0.9124,0.916,0.9163,0.9317,,0.3587,-1.3628,,,,19,0,0.0039,0.0003,0.0,0.5577
608_fri_c3_1000_10,regression,friedman,1000,10,A11 A21 A31 A41 A53 A61,TR3,0.9366,EN2,0.9244,0.9366,0.9231,0.9367,,0.5943,-0.0029,,,,19,0,0.0122,0.0,0.0136,0.3424
