dataset,task,family,rows,features,signature,best_model,best,first_model,first,top4,boosting,tuned,tabpfn,eligible_mean,eligible_worst,best_ruled_out,best_ruled_out_model,ruled_out_why,n_eligible,n_ruled_out,regret_first,regret_top4,regret_boosting,regret_eligible_mean
first_principles_supernovae_zr,regression,first_principles_supernovae_zr,236,1,A11 A21 A31 A41 A54 A61,TR3,0.999,EN2,0.9981,0.999,0.68,0.9954,,0.7095,-0.0165,,,,19,0,0.0009,0.0,0.319,0.2895
haberman,classification,haberman,306,3,A11 A21 A31 A41 A51 A61,SV2,0.5781,TR3,0.5435,0.5557,0.5413,0.5663,0.5902,0.5505,0.5113,,,,17,0,0.0346,0.0225,0.0368,0.0277
heart_disease_cleveland,classification,heart_disease_cleveland,303,13,A11 A21 A38 A41 A51 A62,LM2,0.8487,TR3,0.807,0.8193,0.8066,0.7943,0.8289,0.8124,0.745,,,,17,0,0.0417,0.0294,0.0421,0.0363
heart_disease_hungarian,classification,heart_disease_hungarian,294,13,A11 A21 A38 A41 A51 A62,EN6,0.8109,TR3,0.7669,0.7888,0.7715,0.7701,0.8068,0.7844,0.7204,,,,17,0,0.044,0.0221,0.0394,0.0265
heart_disease_va_long_beach,classification,heart_disease_va_long_beach,200,13,A11 A21 A38 A41 A51 A62,PR1,0.5997,TR3,0.5892,0.5892,0.5475,0.5705,0.6005,0.5707,0.5443,,,,17,0,0.0105,0.0105,0.0522,0.029
horse_colic_lesion_type,classification,horse_colic,368,20,A11 A21 A38 A41 A51 A62,PR1,0.3915,TR3,0.3425,0.3568,0.344,0.3561,0.3481,0.3456,0.2713,,,,17,0,0.049,0.0346,0.0475,0.0459
horse_colic_outcome,classification,horse_colic,366,21,A11 A21 A38 A41 A51 A62,BASE-HGB,0.6185,TR3,0.5014,0.5859,0.6185,0.5759,0.5245,0.5391,0.4623,,,,17,0,0.1171,0.0327,0.0,0.0794
horse_colic_surgery,classification,horse_colic,368,20,A11 A21 A38 A41 A51 A62,PR1,0.743,TR3,0.7165,0.7376,0.7306,0.725,0.7099,0.7025,0.6459,,,,17,0,0.0265,0.0054,0.0124,0.0404
hypothyroid,classification,thyroid_garvan,3163,25,A11 A21 A38 A41 A52 A61,BASE-HGB,0.8869,TR3,0.75,0.8801,0.8869,0.8966,,0.728,0.5033,,,,17,0,0.137,0.0068,0.0,0.159
ionosphere,classification,ionosphere,351,34,A11 A21 A38 A41 A51 A61,EN2,0.9271,TR3,0.9219,0.9219,0.9191,0.9254,0.9424,0.8744,0.763,,,,17,0,0.0052,0.0052,0.008,0.0527
irish,classification,irish,500,5,A11 A21 A38 A41 A51 A61,LM2,1.0,TR3,1.0,1.0,0.9833,0.9915,1.0,0.995,0.9676,,,,17,0,0.0,0.0,0.0167,0.005
kr_vs_kp,classification,chess_krkp,3196,36,A11 A21 A32 A41 A51 A61,TR1,0.9953,TR3,0.9927,0.993,0.9927,0.9931,,0.9765,0.941,0.966,LM2,needs A31 data (yours is A32),13,4,0.0026,0.0023,0.0026,0.0188
led24,classification,led,3200,24,A11 A21 A32 A41 A51 A61,DR4,0.7297,TR3,0.7127,0.718,0.6979,0.71,,0.6999,0.5789,0.7232,PR1,needs A31 data (yours is A32),13,4,0.017,0.0117,0.0317,0.0298
led7,classification,led,3200,7,A11 A21 A32 A41 A51 A61,EN7,0.7337,TR3,0.726,0.7282,0.7238,0.7272,,0.7255,0.6997,0.7298,LM2,needs A31 data (yours is A32),13,4,0.0077,0.0056,0.0099,0.0083
letter,classification,letter,5000,16,A11 A21 A31 A41 A53 A61,TR3,0.9324,TR3,0.9324,0.9324,0.9169,0.9163,,0.7768,0.2977,,,,16,0,0.0,0.0,0.0156,0.1556
magic,classification,magic,5000,10,A11 A21 A31 A41 A51 A61,TR2,0.8427,TR3,0.8341,0.8427,0.8378,0.8417,,0.7844,0.6459,,,,17,0,0.0086,0.0,0.0049,0.0583
mfeat_fourier,classification,mfeat,2000,76,A11 A21 A31 A41 A51 A61,BASE-HGB,0.846,TR3,0.8325,0.8445,0.846,0.838,,0.7998,0.629,,,,16,0,0.0135,0.0015,0.0,0.0462
mfeat_karhunen,classification,mfeat,2000,64,A11 A21 A31 A41 A51 A61,SV2,0.9755,TR3,0.9685,0.9685,0.959,0.9635,,0.9312,0.7215,,,,16,0,0.007,0.007,0.0165,0.0443
mfeat_morphological,classification,mfeat,2000,6,A11 A21 A38 A41 A51 A61,EN6,0.761,TR3,0.703,0.711,0.6955,0.696,,0.7013,0.597,,,,17,0,0.058,0.05,0.0655,0.0597
mfeat_zernike,classification,mfeat,2000,47,A11 A21 A31 A41 A51 A61,EN6,0.8798,TR3,0.789,0.7917,0.7912,0.797,,0.7829,0.5762,,,,16,0,0.0908,0.0882,0.0887,0.0969
mofn_3_7_10,classification,mofn_3_7_10,1324,10,A11 A21 A32 A41 A52 A61,LM2,1.0,TR3,1.0,1.0,1.0,1.0,,0.9987,0.9863,1.0,LM2,needs A31 data (yours is A32),13,4,0.0,0.0,0.0,0.0013
monk1,classification,monk,556,6,A11 A21 A32 A41 A51 A61,TR2,1.0,TR3,1.0,1.0,1.0,1.0,1.0,0.9154,0.7464,0.8741,IB1,needs A31 data (yours is A32),13,4,0.0,0.0,0.0,0.0846
monk2,classification,monk,601,6,A11 A21 A32 A41 A51 A61,NN2,1.0,TR3,0.9133,0.9669,0.9194,0.9814,1.0,0.7429,0.443,0.5138,IB1,needs A31 data (yours is A32),13,4,0.0867,0.0331,0.0806,0.2571
monk3,classification,monk,554,6,A11 A21 A32 A41 A51 A61,EN6,0.9888,TR3,0.9783,0.9802,0.9766,0.9819,0.9835,0.9773,0.9582,0.9714,NN1,needs A31 data (yours is A32),13,4,0.0105,0.0087,0.0122,0.0116
movement_libras,classification,movement_libras,360,90,A11 A21 A31 A42 A51 A61,NN2,0.854,TR3,0.8487,0.8487,0.7664,0.7833,,0.7078,0.2891,,,,17,0,0.0053,0.0053,0.0876,0.1462
mushroom,classification,mushroom,5000,22,A11 A21 A32 A41 A51 A61,TR1,1.0,TR3,1.0,1.0,1.0,1.0,,0.9996,0.9976,0.9994,LM2,needs A31 data (yours is A32),13,4,0.0,0.0,0.0,0.0004
new_thyroid,classification,new_thyroid,215,5,A11 A21 A31 A41 A51 A61,PR1,0.9416,TR3,0.9254,0.9254,0.8981,0.8959,0.966,0.904,0.7968,,,,17,0,0.0162,0.0162,0.0435,0.0376
nikuradse_1,regression,nikuradse_1,362,2,A11 A21 A31 A41 A54 A61,TR3,0.9986,EN2,0.9967,0.9986,0.9937,0.9972,,0.7808,-0.0142,,,,19,0,0.0019,0.0,0.0049,0.2178
nikuradse_2,regression,nikuradse_2,362,1,A11 A21 A31 A41 A54 A61,EN6,0.9706,EN2,0.9701,0.9701,0.9119,0.9649,,0.5807,-0.1812,,,,19,0,0.0005,0.0005,0.0587,0.3899
nursery,classification,nursery,5000,8,A11 A21 A32 A41 A51 A61,EN4,0.9972,TR3,0.9031,0.9972,0.9951,0.9978,,0.8427,0.4416,0.8748,PR1,needs A31 data (yours is A32),13,4,0.0941,0.0,0.0022,0.1546
optdigits,classification,optdigits,5000,64,A11 A21 A31 A41 A51 A61,EN6,0.9856,TR3,0.9851,0.9851,0.9811,0.9829,,0.944,0.7573,,,,16,0,0.0005,0.0005,0.0045,0.0415
page_blocks,classification,page_blocks,5000,10,A11 A21 A31 A41 A52 A61,TR2,0.8476,TR3,0.8124,0.8476,0.8158,0.8073,,0.7478,0.6151,,,,17,0,0.0352,0.0,0.0319,0.0998
parity5+5,classification,parity5+5,1124,10,A11 A21 A32 A41 A51 A61,NN2,1.0,TR3,0.6586,0.9976,0.9691,1.0,,0.6141,0.3169,0.5306,IB1,needs A31 data (yours is A32),13,4,0.3414,0.0024,0.0309,0.3859
pendigits,classification,pendigits,5000,16,A11 A21 A31 A41 A51 A61,SV2,0.9921,TR3,0.9894,0.9894,0.9875,0.9878,,0.9377,0.6351,,,,17,0,0.0028,0.0028,0.0046,0.0545
penguins,classification,penguins,344,7,A11 A21 A38 A41 A51 A62,NN2,0.9973,TR3,0.99,0.99,0.983,0.9831,0.9952,0.9807,0.8708,,,,17,0,0.0074,0.0074,0.0143,0.0167
phoneme,classification,phoneme,5000,5,A11 A21 A31 A41 A51 A61,TR3,0.8842,TR3,0.8842,0.8842,0.8681,0.8735,,0.7932,0.6478,,,,17,0,0.0,0.0,0.0161,0.091
prnn_crabs,classification,prnn_crabs,200,7,A11 A21 A38 A41 A51 A61,DR4,1.0,TR3,0.96,0.96,0.895,0.955,0.995,0.9335,0.61,,,,17,0,0.04,0.04,0.105,0.0665
prnn_synth,classification,prnn_synth,250,2,A11 A21 A31 A41 A51 A61,LM2,0.868,TR3,0.856,0.856,0.848,0.852,0.868,0.8438,0.796,,,,17,0,0.012,0.012,0.02,0.0242
profb,classification,profb,672,9,A11 A21 A38 A41 A51 A61,NN1,0.5809,TR3,0.5538,0.5736,0.5691,0.548,0.5099,0.5545,0.5032,,,,17,0,0.0271,0.0073,0.0119,0.0265
ring,classification,ring,5000,20,A11 A21 A31 A41 A51 A61,PR1,0.9791,TR3,0.9737,0.9737,0.9696,0.9716,,0.8693,0.6468,,,,17,0,0.0054,0.0054,0.0095,0.1098
saheart,classification,saheart,462,9,A11 A21 A38 A41 A51 A61,LM2,0.6877,TR3,0.6236,0.6319,0.6173,0.5921,0.679,0.6366,0.5552,,,,17,0,0.0642,0.0559,0.0704,0.0512
satimage,classification,satimage,5000,36,A11 A21 A31 A41 A51 A61,BASE-HGB,0.8966,TR3,0.8864,0.894,0.8966,0.9001,,0.8357,0.6999,,,,17,0,0.0102,0.0026,0.0,0.0609
schizo,classification,schizo,340,14,A11 A21 A38 A41 A51 A61,PR1,0.4248,TR3,0.3905,0.3905,0.376,0.3954,0.365,0.3881,0.3538,,,,17,0,0.0343,0.0343,0.0488,0.0367
segmentation,classification,segmentation,2310,19,A11 A21 A38 A41 A51 A61,BASE-HGB,0.984,TR3,0.9766,0.9823,0.984,0.9835,,0.9338,0.7948,,,,17,0,0.0074,0.0017,0.0,0.0502
solar_flare,regression,solar_flare,1066,10,A11 A21 A32 A41 A53 A61,LM7,0.1319,EN2,-0.0206,0.0025,0.0024,0.041,,-0.1167,-0.383,0.1319,LM7,needs A31 data (yours is A32),14,5,0.1525,0.1294,0.1295,0.2486
sonar,classification,sonar,208,60,A11 A21 A31 A42 A51 A61,EN4,0.8534,TR3,0.8417,0.8534,0.8527,0.8928,0.8616,0.7872,0.7032,,,,17,0,0.0117,0.0,0.0007,0.0663
soybean,classification,soybean,675,35,A11 A21 A32 A41 A51 A61,PR1,0.9724,TR3,0.9639,0.9646,0.9611,0.9623,,0.8898,0.1327,0.9724,PR1,needs A31 data (yours is A32),13,4,0.0085,0.0079,0.0114,0.0826
spambase,classification,spambase,4601,57,A11 A21 A31 A43 A51 A61,EN4,0.9551,TR3,0.955,0.9551,0.9534,0.9547,,0.9199,0.8448,,,,17,0,0.0001,0.0,0.0017,0.0353
spect,classification,spect,267,22,A11 A21 A32 A41 A52 A61,NN2,0.7282,TR3,0.7273,0.7273,0.7027,0.7074,0.6921,0.7017,0.6757,0.6871,LM2,needs A31 data (yours is A32),13,4,0.0009,0.0009,0.0255,0.0265
spectf,classification,spectf,349,44,A11 A21 A31 A42 A51 A61,EN3,0.9073,TR3,0.8868,0.9073,0.8969,0.8988,0.8942,0.8272,0.7034,,,,17,0,0.0205,0.0,0.0105,0.0801
splice,classification,splice,3188,60,A11 A21 A32 A41 A51 A61,EN3,0.9645,TR3,0.9642,0.9645,0.9643,0.9665,,0.9548,0.9239,0.9462,LM2,needs A31 data (yours is A32),13,4,0.0004,0.0,0.0003,0.0098
strogatz_bacres1,regression,strogatz,400,2,A11 A21 A31 A41 A53 A61,TR3,0.9998,EN2,0.9983,0.9998,0.9762,0.9976,,0.9623,0.6759,,,,19,0,0.0015,0.0,0.0237,0.0376
strogatz_bacres2,regression,strogatz,400,2,A11 A21 A31 A41 A53 A61,LM6,0.9991,EN2,0.9968,0.9989,0.9837,0.9944,,0.958,0.6566,,,,19,0,0.0023,0.0002,0.0154,0.0411
strogatz_barmag1,regression,strogatz,400,2,A11 A21 A31 A41 A54 A61,EN2,0.9862,EN2,0.9862,0.9862,0.9629,0.985,,0.812,-0.0405,,,,19,0,0.0,0.0,0.0233,0.1742
strogatz_barmag2,regression,strogatz,400,2,A11 A21 A31 A41 A54 A61,TR3,0.9971,EN2,0.9898,0.9971,0.9373,0.9842,,0.4552,-1.9962,,,,19,0,0.0073,0.0,0.0598,0.5419
strogatz_glider1,regression,strogatz,400,2,A11 A21 A31 A41 A54 A61,TR3,0.9773,EN2,0.9647,0.9773,0.9352,0.9548,,0.4796,-0.0395,,,,19,0,0.0125,0.0,0.0421,0.4976
strogatz_glider2,regression,strogatz,400,2,A11 A21 A31 A41 A54 A61,TR3,0.9645,EN2,0.9562,0.9645,0.8888,0.9217,,0.7633,-0.0228,,,,19,0,0.0083,0.0,0.0757,0.2012
strogatz_lv1,regression,strogatz,400,2,A11 A21 A31 A41 A54 A61,LM6,0.9965,EN2,0.6082,0.7295,-6.7168,-3.4299,,-3.2527,-15.8574,,,,19,0,0.3883,0.2669,7.7133,4.2492
strogatz_lv2,regression,strogatz,400,2,A11 A21 A31 A41 A54 A61,LM6,0.9817,EN2,-0.555,0.8099,-2.0182,0.505,,-0.2444,-2.6217,,,,19,0,1.5367,0.1717,2.9999,1.2261
strogatz_predprey1,regression,strogatz,400,2,A11 A21 A31 A41 A53 A61,NN2,0.9865,EN2,0.9562,0.9862,0.5315,0.7433,,0.6918,0.2309,,,,19,0,0.0303,0.0003,0.455,0.2947
strogatz_predprey2,regression,strogatz,400,2,A11 A21 A31 A41 A53 A61,TR3,0.9974,EN2,0.9893,0.9974,0.9869,0.9904,,0.8791,-0.0232,,,,19,0,0.0082,0.0,0.0105,0.1184
strogatz_shearflow1,regression,strogatz,400,2,A11 A21 A31 A41 A54 A61,TR3,0.9899,EN2,0.9022,0.9899,0.7409,0.8455,,0.4872,-0.3043,,,,19,0,0.0876,0.0,0.2489,0.5027
strogatz_shearflow2,regression,strogatz,400,2,A11 A21 A31 A41 A54 A61,TR3,0.9947,EN2,0.9359,0.9947,0.9225,0.915,,0.6176,-0.0167,,,,19,0,0.0588,0.0,0.0722,0.3771
strogatz_vdp1,regression,strogatz,400,2,A11 A21 A31 A41 A53 A61,TR3,0.9844,EN2,0.9077,0.9844,0.7719,0.9181,,0.5666,-0.0019,,,,19,0,0.0767,0.0,0.2125,0.4178
strogatz_vdp2,regression,strogatz,400,2,A11 A21 A31 A41 A53 A61,LM1,1.0,EN2,0.9998,0.9999,0.9983,0.9998,,0.855,-0.0156,,,,19,0,0.0002,0.0001,0.0017,0.145
texture,classification,texture,5000,40,A11 A21 A31 A41 A51 A61,NN2,0.9974,TR3,0.983,0.9848,0.9862,0.9884,,0.947,0.6018,,,,16,0,0.0144,0.0126,0.0112,0.0504
threeOf9,classification,threeOf9,512,9,A11 A21 A32 A41 A51 A61,EN2,1.0,TR3,0.994,1.0,1.0,1.0,0.9939,0.9474,0.8008,0.9446,IB1,needs A31 data (yours is A32),13,4,0.006,0.0,0.0,0.0526
tic_tac_toe,classification,tic_tac_toe,958,9,A11 A21 A32 A41 A51 A61,TR3,0.9885,TR3,0.9885,0.9885,0.9836,0.994,0.9718,0.959,0.765,0.9759,LM2,needs A31 data (yours is A32),13,4,0.0,0.0,0.0048,0.0295
titanic,classification,titanic,2207,8,A11 A21 A38 A41 A51 A62,BASE-HGB,0.7549,TR3,0.7151,0.7479,0.7549,0.7536,,0.7261,0.6203,,,,17,0,0.0398,0.0069,0.0,0.0287
tokyo1,classification,tokyo1,959,44,A11 A21 A38 A41 A51 A61,TR3,0.9315,TR3,0.9315,0.9315,0.9208,0.9239,0.9206,0.9129,0.8519,,,,17,0,0.0,0.0,0.0107,0.0186
twonorm,classification,twonorm,5000,20,A11 A21 A31 A41 A51 A61,PR1,0.9808,TR3,0.9782,0.9782,0.9712,0.9728,,0.9663,0.8328,,,,17,0,0.0026,0.0026,0.0096,0.0145
vehicle,classification,vehicle,846,18,A11 A21 A31 A41 A51 A61,NN2,0.8548,TR3,0.7585,0.7591,0.7581,0.7719,0.8391,0.7375,0.4673,,,,17,0,0.0963,0.0957,0.0967,0.1174
vowel,classification,vowel,990,13,A11 A21 A38 A41 A51 A61,TR3,0.9869,TR3,0.9869,0.9869,0.9525,0.9394,,0.7851,0.3566,,,,17,0,0.0,0.0,0.0343,0.2018
waveform_21,classification,waveform,5000,21,A11 A21 A31 A41 A51 A61,LM2,0.8688,TR3,0.8617,0.8617,0.8461,0.8441,,0.8395,0.7578,,,,17,0,0.0072,0.0072,0.0227,0.0294
waveform_40,classification,waveform,5000,40,A11 A21 A31 A41 A51 A61,SV1,0.8672,TR3,0.864,0.864,0.8531,0.8542,,0.8366,0.7422,,,,17,0,0.0032,0.0032,0.0141,0.0306
wine_quality_red,classification,wine_quality_red,1599,11,A11 A21 A31 A41 A51 A61,EN4,0.3643,TR3,0.3527,0.3643,0.355,0.3604,,0.3136,0.2367,,,,17,0,0.0116,0.0,0.0093,0.0507
wine_quality_white,classification,wine_quality_white,4898,11,A11 A21 A31 A41 A51 A61,EN3,0.3912,TR3,0.3877,0.3912,0.3871,0.3899,,0.2905,0.198,,,,17,0,0.0034,0.0,0.004,0.1007
xd6,classification,xd6,973,9,A11 A21 A32 A41 A51 A61,TR1,1.0,TR3,1.0,1.0,1.0,1.0,1.0,0.9436,0.7604,0.9766,IB1,needs A31 data (yours is A32),13,4,0.0,0.0,0.0,0.0564
yeast,classification,yeast,1479,8,A11 A21 A31 A41 A51 A61,DR4,0.5348,TR3,0.5226,0.5308,0.4787,0.5229,,0.4808,0.3438,,,,17,0,0.0122,0.004,0.0561,0.054
