dataset,task,rows,features,subsampled,signature,flags,model,model_name,eligible,ruled_out_why,recommended_rank,score,score_std,seconds,status,detail,seed
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,NN1,Perceptron,True,,17,0.9949999999999999,0.010000000000000009,0.07,ok,,0
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,NN2,MLP (Feedforward),True,,5,0.9949999999999999,0.010000000000000009,0.8,ok,,0
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,EN3,XGBoost,True,,4,0.95,0.03872983346207416,0.14,ok,,0
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,EN4,LightGBM,True,,2,0.95,0.022360679774997866,0.13,ok,,0
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.8949999999999999,0.062048368229954284,0.33,ok,,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,LM2,Logistic Regression,True,,10,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,TR1,Decision Tree,True,,13,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,TR2,Random Forest,True,,3,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,TR3,Extra Trees,True,,1,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,EN1,AdaBoost,True,,15,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,EN2,Gradient Boosting (GBM),True,,7,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,EN6,Stacking,True,,6,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,EN7,Voting Ensemble,True,,8,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,SV1,SVM (linear),True,,12,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,SV2,Kernel SVM (RBF/Poly),True,,9,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,PR1,Naive Bayes,True,,16,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,IB1,k-Nearest Neighbors,True,,14,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,DR4,LDA (Linear Discriminant Analysis),True,,11,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,NN1,Perceptron,True,,17,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,NN2,MLP (Feedforward),True,,5,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,EN3,XGBoost,True,,4,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,EN4,LightGBM,True,,2,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,,,,skipped,a class has only 3 rows,0
sonar,classification,208,60,False,A11 A21 A31 A42 A51 A61,A54,LM2,Logistic Regression,True,,10,0.7485895568961931,0.08461678570105506,0.08,ok,,0
sonar,classification,208,60,False,A11 A21 A31 A42 A51 A61,A54,TR1,Decision Tree,True,,13,0.7104077387143748,0.08800753546044274,0.08,ok,,0
sonar,classification,208,60,False,A11 A21 A31 A42 A51 A61,A54,TR2,Random Forest,True,,3,0.8191814021219056,0.029692787349101905,1.65,ok,,0
sonar,classification,208,60,False,A11 A21 A31 A42 A51 A61,A54,TR3,Extra Trees,True,,1,0.8417172872893698,0.03258279436181204,1.34,ok,,0
sonar,classification,208,60,False,A11 A21 A31 A42 A51 A61,A54,EN1,AdaBoost,True,,15,0.840945496151446,0.05017394319058819,0.6,ok,,0
sonar,classification,208,60,False,A11 A21 A31 A42 A51 A61,A54,EN2,Gradient Boosting (GBM),True,,7,0.8100904930309965,0.07033066000965858,1.29,ok,,0
sonar,classification,208,60,False,A11 A21 A31 A42 A51 A61,A54,EN6,Stacking,True,,6,0.7779498647805285,0.06199668505439274,0.58,ok,,0
sonar,classification,208,60,False,A11 A21 A31 A42 A51 A61,A54,EN7,Voting Ensemble,True,,8,0.7644268774703558,0.04839377806427908,0.22,ok,,0
sonar,classification,208,60,False,A11 A21 A31 A42 A51 A61,A54,SV1,SVM (linear),True,,12,0.7429373829831495,0.09580282744892461,0.07,ok,,0
sonar,classification,208,60,False,A11 A21 A31 A42 A51 A61,A54,SV2,Kernel SVM (RBF/Poly),True,,9,0.8280746827543165,0.03774675617335409,0.07,ok,,0
sonar,classification,208,60,False,A11 A21 A31 A42 A51 A61,A54,PR1,Naive Bayes,True,,16,0.7032255044726441,0.03888296093966574,0.06,ok,,0
sonar,classification,208,60,False,A11 A21 A31 A42 A51 A61,A54,IB1,k-Nearest Neighbors,True,,14,0.7972259205325567,0.044871132521088285,0.07,ok,,0
sonar,classification,208,60,False,A11 A21 A31 A42 A51 A61,A54,DR4,LDA (Linear Discriminant Analysis),True,,11,0.7055991262741835,0.06171320746567242,0.08,ok,,0
sonar,classification,208,60,False,A11 A21 A31 A42 A51 A61,A54,NN1,Perceptron,True,,17,0.749833576034949,0.07681457298280689,0.06,ok,,0
sonar,classification,208,60,False,A11 A21 A31 A42 A51 A61,A54,NN2,MLP (Feedforward),True,,5,0.8486727688787186,0.03235937288479215,0.8,ok,,0
sonar,classification,208,60,False,A11 A21 A31 A42 A51 A61,A54,EN3,XGBoost,True,,4,0.8393187018930724,0.05836700736535124,0.36,ok,,0
sonar,classification,208,60,False,A11 A21 A31 A42 A51 A61,A54,EN4,LightGBM,True,,2,0.8534033700852923,0.06362660078084707,0.2,ok,,0
sonar,classification,208,60,False,A11 A21 A31 A42 A51 A61,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.85268566673601,0.07525235428453429,0.41,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,LM2,Logistic Regression,True,,10,0.8437037037037036,0.07114196861358799,0.08,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,TR1,Decision Tree,True,,13,0.8754131054131055,0.05189657130482835,0.07,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,TR2,Random Forest,True,,3,0.8703703703703705,0.09075207790098828,1.59,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,TR3,Extra Trees,True,,1,0.888888888888889,0.06571334849249447,1.28,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN1,AdaBoost,True,,15,0.8903703703703704,0.06314135947000324,0.37,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN2,Gradient Boosting (GBM),True,,7,0.9074074074074074,0.04789105148220627,0.52,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN6,Stacking,True,,6,0.8570370370370372,0.07512586603560358,0.47,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN7,Voting Ensemble,True,,8,0.868148148148148,0.07134221705383413,0.15,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,SV1,SVM (linear),True,,12,0.8296296296296296,0.05916659421545442,0.07,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,SV2,Kernel SVM (RBF/Poly),True,,9,0.8414814814814815,0.04059908031420661,0.08,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,PR1,Naive Bayes,True,,16,0.8555555555555555,0.04631851318774369,0.08,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,IB1,k-Nearest Neighbors,True,,14,0.8088888888888889,0.04557813351974863,0.11,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,DR4,LDA (Linear Discriminant Analysis),True,,11,0.8103703703703704,0.056286548863741855,0.08,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,NN1,Perceptron,True,,17,0.8274358974358975,0.06601967690510702,0.08,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,NN2,MLP (Feedforward),True,,5,0.8731908831908832,0.06638876013192999,1.24,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN3,XGBoost,True,,4,0.8800000000000001,0.07534465845897134,0.15,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN4,LightGBM,True,,2,0.8962962962962961,0.0758671859500407,0.13,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.8820797720797721,0.0632451938555294,0.32,ok,,0
new_thyroid,classification,215,5,False,A11 A21 A31 A41 A51 A61,A54,LM2,Logistic Regression,True,,10,0.8857142857142858,0.05972980229278347,0.05,ok,,0
new_thyroid,classification,215,5,False,A11 A21 A31 A41 A51 A61,A54,TR1,Decision Tree,True,,13,0.9298412698412699,0.04928718398749298,0.04,ok,,0
new_thyroid,classification,215,5,False,A11 A21 A31 A41 A51 A61,A54,TR2,Random Forest,True,,3,0.9225396825396827,0.03020714576600709,1.62,ok,,0
new_thyroid,classification,215,5,False,A11 A21 A31 A41 A51 A61,A54,TR3,Extra Trees,True,,1,0.9253968253968254,0.026843705595694906,1.31,ok,,0
new_thyroid,classification,215,5,False,A11 A21 A31 A41 A51 A61,A54,EN1,AdaBoost,True,,15,0.9209523809523811,0.02410190843949504,0.33,ok,,0
new_thyroid,classification,215,5,False,A11 A21 A31 A41 A51 A61,A54,EN2,Gradient Boosting (GBM),True,,7,0.9203174603174602,0.03234981384852575,1.07,ok,,0
new_thyroid,classification,215,5,False,A11 A21 A31 A41 A51 A61,A54,EN6,Stacking,True,,6,0.9400000000000001,0.057348835113617505,0.39,ok,,0
new_thyroid,classification,215,5,False,A11 A21 A31 A41 A51 A61,A54,EN7,Voting Ensemble,True,,8,0.9209523809523809,0.060529285529002816,0.12,ok,,0
new_thyroid,classification,215,5,False,A11 A21 A31 A41 A51 A61,A54,SV1,SVM (linear),True,,12,0.8723809523809523,0.050009825187340276,0.04,ok,,0
new_thyroid,classification,215,5,False,A11 A21 A31 A41 A51 A61,A54,SV2,Kernel SVM (RBF/Poly),True,,9,0.9025396825396825,0.05064064255872347,0.05,ok,,0
new_thyroid,classification,215,5,False,A11 A21 A31 A41 A51 A61,A54,PR1,Naive Bayes,True,,16,0.9415873015873016,0.043043685731246485,0.04,ok,,0
new_thyroid,classification,215,5,False,A11 A21 A31 A41 A51 A61,A54,IB1,k-Nearest Neighbors,True,,14,0.8701587301587301,0.061339708499065386,0.05,ok,,0
new_thyroid,classification,215,5,False,A11 A21 A31 A41 A51 A61,A54,DR4,LDA (Linear Discriminant Analysis),True,,11,0.7968253968253969,0.09140431777071727,0.05,ok,,0
new_thyroid,classification,215,5,False,A11 A21 A31 A41 A51 A61,A54,NN1,Perceptron,True,,17,0.8857142857142858,0.07007896061290103,0.05,ok,,0
