dataset,task,family,best,ceiling,current,prior,prior_fit,prior_knn,boosting,tuned,current_model,prior_model,prior_fit_model,prior_knn_model,boosting_model,tuned_model
592_fri_c4_1000_25,regression,friedman,0.9152,0.935,0.2485,0.9152,0.906,0.9152,0.914,0.935,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
593_fri_c1_1000_10,regression,friedman,0.9391,0.9465,0.2862,0.9377,0.9391,0.9377,0.9351,0.9465,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
595_fri_c0_1000_10,regression,friedman,0.9185,0.9185,0.7057,0.8452,0.897,0.8452,0.896,0.9112,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
596_fri_c2_250_5,regression,friedman,0.891,0.891,0.2636,0.891,0.891,0.891,0.855,0.8693,LM1,TR3,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
597_fri_c2_500_5,regression,friedman,0.9407,0.9407,0.2392,0.928,0.928,0.928,0.924,0.9306,LM1,TR3,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
598_fri_c0_1000_25,regression,friedman,0.9009,0.9064,0.6924,0.8277,0.9009,0.8277,0.895,0.9064,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
599_fri_c2_1000_5,regression,friedman,0.9487,0.9536,0.2886,0.9486,0.9486,0.9397,0.9446,0.9536,LM1,TR3,TR3,EN2,BASE-HGB,BASE-HGB-TUNED
601_fri_c1_250_5,regression,friedman,0.9014,0.9014,0.2693,0.8977,0.8977,0.8977,0.8883,0.8933,LM1,TR3,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
602_fri_c3_250_10,regression,friedman,0.8467,0.8467,0.1808,0.8467,0.822,0.8467,0.8364,0.8351,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
603_fri_c0_250_50,regression,friedman,0.7948,0.7948,0.6455,0.6735,0.6735,0.6735,0.7834,0.7894,LM1,TR3,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
604_fri_c4_500_10,regression,friedman,0.9128,0.9181,0.2426,0.9128,0.8976,0.9128,0.9,0.9181,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
605_fri_c2_250_25,regression,friedman,0.8553,0.8553,0.2712,0.7922,0.7922,0.7922,0.8282,0.8349,LM1,TR3,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
606_fri_c2_1000_10,regression,friedman,0.9327,0.9439,0.3088,0.9287,0.9292,0.9287,0.9344,0.9439,LM1,TR3,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
