dataset,task,family,best,ceiling,current,prior,prior_fit,prior_knn,boosting,tuned,current_model,prior_model,prior_fit_model,prior_knn_model,boosting_model,tuned_model
nikuradse_2,regression,nikuradse_2,0.9706,0.9706,-0.0453,0.9701,0.9614,0.9614,0.9119,0.9649,LM1,EN2,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
nursery,classification,nursery,0.9972,0.9978,0.9697,0.9972,0.9972,0.9972,0.9951,0.9978,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
optdigits,classification,optdigits,0.9856,0.9856,0.9698,0.9801,0.9851,0.9801,0.9811,0.9829,LM2,EN4,TR3,EN4,BASE-HGB,BASE-HGB-TUNED
page_blocks,classification,page_blocks,0.8476,0.8476,0.7295,0.8185,0.8185,0.8185,0.8158,0.8073,LM2,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
parity5+5,classification,parity5+5,1.0,1.0,0.7076,0.9528,0.9528,0.9528,0.9691,1.0,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
pendigits,classification,pendigits,0.9921,0.9921,0.947,0.9887,0.9887,0.9894,0.9875,0.9878,LM2,EN4,EN4,TR3,BASE-HGB,BASE-HGB-TUNED
penguins,classification,penguins,0.9973,0.9973,0.971,0.9881,0.9881,0.9881,0.983,0.9831,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
phoneme,classification,phoneme,0.8842,0.8842,0.6703,0.8683,0.8683,0.8683,0.8681,0.8735,LM2,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
prnn_crabs,classification,prnn_crabs,1.0,1.0,0.91,0.95,0.95,0.95,0.895,0.955,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
prnn_synth,classification,prnn_synth,0.868,0.868,0.868,0.852,0.86,0.86,0.848,0.852,LM2,EN4,NN2,NN2,BASE-HGB,BASE-HGB-TUNED
profb,classification,profb,0.5809,0.5809,0.5448,0.5457,0.5457,0.5457,0.5691,0.548,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
ring,classification,ring,0.9791,0.9791,0.7555,0.9666,0.9666,0.9737,0.9696,0.9716,LM2,EN4,EN4,TR3,BASE-HGB,BASE-HGB-TUNED
saheart,classification,saheart,0.6877,0.6877,0.5552,0.6319,0.6319,0.6319,0.6173,0.5921,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
satimage,classification,satimage,0.894,0.9001,0.81,0.894,0.8864,0.8864,0.8966,0.9001,LM2,EN4,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
schizo,classification,schizo,0.4248,0.4248,0.3538,0.3852,0.3852,0.3663,0.376,0.3954,TR1,EN4,EN4,NN2,BASE-HGB,BASE-HGB-TUNED
segmentation,classification,segmentation,0.9823,0.984,0.9641,0.9823,0.9823,0.9753,0.984,0.9835,TR1,EN4,EN4,NN2,BASE-HGB,BASE-HGB-TUNED
solar_flare,regression,solar_flare,0.1319,0.1319,-0.0058,-0.0206,-0.0206,-0.0206,0.0024,0.041,LM4,EN2,EN2,EN2,BASE-HGB,BASE-HGB-TUNED
sonar,classification,sonar,0.8534,0.8928,0.7486,0.8534,0.8417,0.8534,0.8527,0.8928,LM2,EN4,TR3,EN4,BASE-HGB,BASE-HGB-TUNED
soybean,classification,soybean,0.9724,0.9724,0.9415,0.9571,0.9639,0.9485,0.9611,0.9623,TR1,EN4,TR3,NN2,BASE-HGB,BASE-HGB-TUNED
spambase,classification,spambase,0.9551,0.9551,0.9187,0.9551,0.955,0.9551,0.9534,0.9547,LM2,EN4,TR3,EN4,BASE-HGB,BASE-HGB-TUNED
spect,classification,spect,0.7282,0.7282,0.6757,0.6916,0.7273,0.7282,0.7027,0.7074,TR1,EN4,TR3,NN2,BASE-HGB,BASE-HGB-TUNED
spectf,classification,spectf,0.9073,0.9073,0.7804,0.8929,0.8868,0.8929,0.8969,0.8988,LM2,EN4,TR3,EN4,BASE-HGB,BASE-HGB-TUNED
splice,classification,splice,0.9645,0.9665,0.9239,0.9627,0.9642,0.9627,0.9643,0.9665,TR1,EN4,TR3,EN4,BASE-HGB,BASE-HGB-TUNED
strogatz_bacres1,regression,strogatz,0.9998,0.9998,0.9891,0.9983,0.9983,0.9983,0.9762,0.9976,LM1,EN2,EN2,EN2,BASE-HGB,BASE-HGB-TUNED
strogatz_bacres2,regression,strogatz,0.9991,0.9991,0.9857,0.9968,0.9968,0.9968,0.9837,0.9944,LM1,EN2,EN2,EN2,BASE-HGB,BASE-HGB-TUNED
strogatz_barmag1,regression,strogatz,0.9862,0.9862,0.843,0.9862,0.9817,0.9817,0.9629,0.985,LM1,EN2,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
strogatz_barmag2,regression,strogatz,0.9971,0.9971,0.0159,0.9898,0.9971,0.9971,0.9373,0.9842,LM1,EN2,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
strogatz_glider1,regression,strogatz,0.9773,0.9773,0.1065,0.9647,0.9773,0.9647,0.9352,0.9548,LM1,EN2,TR3,EN2,BASE-HGB,BASE-HGB-TUNED
strogatz_glider2,regression,strogatz,0.9645,0.9645,0.6725,0.9562,0.9645,0.9562,0.8888,0.9217,LM1,EN2,TR3,EN2,BASE-HGB,BASE-HGB-TUNED
strogatz_lv1,regression,strogatz,0.9965,0.9965,-7.6826,0.6082,0.7295,0.6082,-6.7168,-3.4299,LM1,EN2,TR3,EN2,BASE-HGB,BASE-HGB-TUNED
strogatz_lv2,regression,strogatz,0.9817,0.9817,-0.7426,-0.555,0.8099,-0.555,-2.0182,0.505,LM1,EN2,TR3,EN2,BASE-HGB,BASE-HGB-TUNED
strogatz_predprey1,regression,strogatz,0.9865,0.9865,0.2887,0.9562,0.9562,0.9562,0.5315,0.7433,LM1,EN2,EN2,EN2,BASE-HGB,BASE-HGB-TUNED
strogatz_predprey2,regression,strogatz,0.9974,0.9974,0.9087,0.9893,0.9893,0.9893,0.9869,0.9904,LM1,EN2,EN2,EN2,BASE-HGB,BASE-HGB-TUNED
strogatz_shearflow1,regression,strogatz,0.9899,0.9899,0.0443,0.9022,0.9899,0.9899,0.7409,0.8455,LM1,EN2,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
strogatz_shearflow2,regression,strogatz,0.9947,0.9947,0.2228,0.9359,0.9947,0.9947,0.9225,0.915,LM1,EN2,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
strogatz_vdp1,regression,strogatz,0.9844,0.9844,0.0876,0.9077,0.9077,0.9077,0.7719,0.9181,LM1,EN2,EN2,EN2,BASE-HGB,BASE-HGB-TUNED
strogatz_vdp2,regression,strogatz,1.0,1.0,1.0,0.9998,0.9998,0.9998,0.9983,0.9998,LM1,EN2,EN2,EN2,BASE-HGB,BASE-HGB-TUNED
texture,classification,texture,0.9974,0.9974,0.9942,0.9848,0.983,0.9848,0.9862,0.9884,LM2,EN4,TR3,EN4,BASE-HGB,BASE-HGB-TUNED
threeOf9,classification,threeOf9,1.0,1.0,0.9846,1.0,0.9945,0.994,1.0,1.0,TR1,EN4,NN2,TR3,BASE-HGB,BASE-HGB-TUNED
tic_tac_toe,classification,tic_tac_toe,0.9885,0.994,0.9359,0.9862,0.9862,0.977,0.9836,0.994,TR1,EN4,EN4,NN2,BASE-HGB,BASE-HGB-TUNED
titanic,classification,titanic,0.7526,0.7549,0.7005,0.7479,0.7292,0.7479,0.7549,0.7536,TR1,EN4,NN2,EN4,BASE-HGB,BASE-HGB-TUNED
tokyo1,classification,tokyo1,0.9315,0.9315,0.9114,0.9278,0.9278,0.9058,0.9208,0.9239,TR1,EN4,EN4,NN2,BASE-HGB,BASE-HGB-TUNED
twonorm,classification,twonorm,0.9808,0.9808,0.979,0.9704,0.9704,0.9782,0.9712,0.9728,LM2,EN4,EN4,TR3,BASE-HGB,BASE-HGB-TUNED
vehicle,classification,vehicle,0.8548,0.8548,0.7899,0.7558,0.8548,0.7558,0.7581,0.7719,LM2,EN4,NN2,EN4,BASE-HGB,BASE-HGB-TUNED
vowel,classification,vowel,0.9869,0.9869,0.8061,0.9455,0.9455,0.9455,0.9525,0.9394,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
waveform_21,classification,waveform_21,0.8688,0.8688,0.8688,0.8444,0.8444,0.8617,0.8461,0.8441,LM2,EN4,EN4,TR3,BASE-HGB,BASE-HGB-TUNED
waveform_40,classification,waveform_40,0.8672,0.8672,0.866,0.8543,0.864,0.8543,0.8531,0.8542,LM2,EN4,TR3,EN4,BASE-HGB,BASE-HGB-TUNED
wine_quality_red,classification,wine_quality_red,0.3643,0.3643,0.2979,0.3643,0.338,0.338,0.355,0.3604,LM2,EN4,NN2,NN2,BASE-HGB,BASE-HGB-TUNED
wine_quality_white,classification,wine_quality_white,0.3912,0.3912,0.2251,0.3875,0.3875,0.3877,0.3871,0.3899,LM2,EN4,EN4,TR3,BASE-HGB,BASE-HGB-TUNED
xd6,classification,xd6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,TR1,EN4,EN4,EN4,BASE-HGB,BASE-HGB-TUNED
yeast,classification,yeast,0.5348,0.5348,0.5072,0.4633,0.5177,0.4633,0.4787,0.5229,LM2,EN4,NN2,EN4,BASE-HGB,BASE-HGB-TUNED
