dataset,task,condition,best_column,best_score,flags,caught
606_fri_c2_1000_10,regression,id_run,oz2,0.5624,id:extra,1
606_fri_c2_1000_10,regression,id_code,oz2,0.5624,id:extra,1
606_fri_c2_1000_10,regression,copies_2,oz2,0.5631,duplicates:,1
607_fri_c4_1000_50,regression,clean,oz2,0.4419,,
608_fri_c3_1000_10,regression,clean,oz4,0.4445,,
609_fri_c0_1000_5,regression,clean,oz4,0.5691,,
612_fri_c1_1000_5,regression,clean,oz2,0.4744,,
613_fri_c3_250_5,regression,clean,oz4,0.4797,,
615_fri_c4_250_10,regression,clean,oz4,0.5106,,
616_fri_c4_500_50,regression,clean,oz4,0.4453,,
617_fri_c3_500_5,regression,clean,oz2,0.395,,
618_fri_c3_1000_50,regression,clean,oz2,0.4448,,
620_fri_c1_1000_25,regression,clean,oz1,0.4854,,
620_fri_c1_1000_25,regression,leak,extra,1.0,leak:extra,1
620_fri_c1_1000_25,regression,leak_1,extra,0.9922,leak:extra,1
620_fri_c1_1000_25,regression,leak_5,extra,0.9535,,0
620_fri_c1_1000_25,regression,id_run,oz1,0.4854,id:extra,1
620_fri_c1_1000_25,regression,id_code,oz1,0.4854,id:extra,1
620_fri_c1_1000_25,regression,copies_2,oz2,0.4635,duplicates:,1
622_fri_c2_1000_50,regression,clean,oz2,0.5926,,
623_fri_c4_1000_10,regression,clean,oz4,0.4411,,
626_fri_c2_500_50,regression,clean,oz2,0.5855,,
627_fri_c2_500_10,regression,clean,oz2,0.6015,,
627_fri_c2_500_10,regression,leak,extra,1.0,leak:extra,1
627_fri_c2_500_10,regression,leak_1,extra,0.975,,0
627_fri_c2_500_10,regression,leak_5,extra,0.9604,,0
627_fri_c2_500_10,regression,id_run,oz2,0.6015,id:extra,1
627_fri_c2_500_10,regression,id_code,oz2,0.6015,id:extra,1
627_fri_c2_500_10,regression,copies_2,oz2,0.6,duplicates:,1
628_fri_c3_1000_5,regression,clean,oz2,0.4513,,
631_fri_c1_500_5,regression,clean,oz1,0.409,,
633_fri_c0_500_25,regression,clean,oz4,0.5794,,
635_fri_c0_250_10,regression,clean,oz4,0.5603,,
635_fri_c0_250_10,regression,leak,extra,1.0,leak:extra,1
635_fri_c0_250_10,regression,leak_1,extra,0.9897,,0
635_fri_c0_250_10,regression,leak_5,extra,0.9279,,0
635_fri_c0_250_10,regression,id_run,oz4,0.5603,id:extra,1
635_fri_c0_250_10,regression,id_code,oz4,0.5603,id:extra,1
635_fri_c0_250_10,regression,copies_2,oz4,0.5576,duplicates:,1
637_fri_c1_500_50,regression,clean,oz2,0.4942,,
641_fri_c1_500_10,regression,clean,oz2,0.5029,,
641_fri_c1_500_10,regression,leak,extra,1.0,leak:extra,1
641_fri_c1_500_10,regression,leak_1,extra,0.9862,,0
641_fri_c1_500_10,regression,leak_5,extra,0.9294,,0
641_fri_c1_500_10,regression,id_run,oz2,0.5029,id:extra,1
641_fri_c1_500_10,regression,id_code,oz2,0.5029,id:extra,1
641_fri_c1_500_10,regression,copies_2,oz2,0.5032,duplicates:,1
643_fri_c2_500_25,regression,clean,oz2,0.4896,,
644_fri_c4_250_25,regression,clean,oz4,0.4216,,
645_fri_c3_500_50,regression,clean,oz4,0.4977,,
645_fri_c3_500_50,regression,leak,extra,1.0,leak:extra,1
645_fri_c3_500_50,regression,leak_1,extra,0.9903,leak:extra,1
645_fri_c3_500_50,regression,leak_5,extra,0.9344,,0
645_fri_c3_500_50,regression,id_run,oz4,0.4977,id:extra,1
