dataset,task,rows,features,subsampled,signature,flags,model,model_name,eligible,ruled_out_why,recommended_rank,score,score_std,seconds,status,detail,seed
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,PR1,Naive Bayes,True,,16,0.6319226750261233,0.10959990673242591,0.12,ok,,1
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,PR1,Naive Bayes,True,,16,0.5733124346917451,0.06375076922429213,0.13,ok,,2
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,IB1,k-Nearest Neighbors,True,,14,0.5860188087774295,0.027630316054508046,0.14,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,IB1,k-Nearest Neighbors,True,,14,0.5868129571577848,0.0784205938484401,0.12,ok,,1
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,IB1,k-Nearest Neighbors,True,,14,0.6047335423197493,0.052224348446942036,0.14,ok,,2
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,DR4,LDA (Linear Discriminant Analysis),True,,11,0.5900313479623824,0.042917834733742465,0.13,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,DR4,LDA (Linear Discriminant Analysis),True,,11,0.5551097178683386,0.0925787496399051,0.12,ok,,1
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,DR4,LDA (Linear Discriminant Analysis),True,,11,0.593939393939394,0.06753565871026083,0.13,ok,,2
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,NN1,Perceptron,True,,17,0.5616509926854754,0.08814411195745232,0.12,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,NN1,Perceptron,True,,17,0.5165517241379309,0.10701476592897419,0.12,ok,,1
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,NN1,Perceptron,True,,17,0.6108986415882969,0.11262683779255216,0.12,ok,,2
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,NN2,MLP (Feedforward),True,,5,0.5856739811912226,0.05527209101731816,2.52,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,NN2,MLP (Feedforward),True,,5,0.5804075235109718,0.08022153932057029,2.58,ok,,1
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,NN2,MLP (Feedforward),True,,5,0.5720062695924766,0.07471395458145093,2.47,ok,,2
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN3,XGBoost,True,,4,0.5735945663531871,0.038943661130803185,0.31,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN3,XGBoost,True,,4,0.5311703239289447,0.04536215643425019,0.23,ok,,1
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN3,XGBoost,True,,4,0.570146290491118,0.033980375060407055,0.24,ok,,2
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN4,LightGBM,True,,2,0.5668129571577847,0.021083881238415533,0.2,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN4,LightGBM,True,,2,0.5351828631138976,0.06441950420993506,0.2,ok,,1
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN4,LightGBM,True,,2,0.5535945663531872,0.03879221366257358,0.25,ok,,2
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.5737095088819226,0.025354505523090237,0.59,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.541055381400209,0.05887542185582186,0.52,ok,,1
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.5277220480668756,0.03240392504407631,0.55,ok,,2
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,LM2,Logistic Regression,True,,10,0.8437037037037036,0.07114196861358799,0.11,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,LM2,Logistic Regression,True,,10,0.8465242165242165,0.03949396224475521,0.12,ok,,1
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,LM2,Logistic Regression,True,,10,0.8367521367521368,0.05742080252056591,0.11,ok,,2
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,TR1,Decision Tree,True,,13,0.8754131054131055,0.05189657130482835,0.12,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,TR1,Decision Tree,True,,13,0.8421082621082621,0.02441008616112648,0.11,ok,,1
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,TR1,Decision Tree,True,,13,0.8452136752136752,0.04325379357183654,0.1,ok,,2
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,TR2,Random Forest,True,,3,0.8703703703703705,0.09075207790098828,2.36,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,TR2,Random Forest,True,,3,0.8917094017094016,0.04203031464851688,2.26,ok,,1
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,TR2,Random Forest,True,,3,0.8887464387464388,0.04304389816241654,2.35,ok,,2
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,TR3,Extra Trees,True,,1,0.888888888888889,0.06571334849249447,1.86,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,TR3,Extra Trees,True,,1,0.8925925925925926,0.042552315900281724,1.89,ok,,1
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,TR3,Extra Trees,True,,1,0.8850427350427351,0.04484243601572205,1.91,ok,,2
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN1,AdaBoost,True,,15,0.8903703703703704,0.06314135947000324,0.51,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN1,AdaBoost,True,,15,0.9118518518518519,0.03180875637567982,0.53,ok,,1
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN1,AdaBoost,True,,15,0.8754131054131055,0.039773508329514325,0.57,ok,,2
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN2,Gradient Boosting (GBM),True,,7,0.9074074074074074,0.04789105148220627,0.74,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN2,Gradient Boosting (GBM),True,,7,0.8974928774928774,0.025040385072333467,0.72,ok,,1
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN2,Gradient Boosting (GBM),True,,7,0.8974928774928775,0.02799304418318706,0.76,ok,,2
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN6,Stacking,True,,6,0.8570370370370372,0.07512586603560358,0.69,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN6,Stacking,True,,6,0.8660968660968662,0.03218389784997346,0.65,ok,,1
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN6,Stacking,True,,6,0.8546723646723647,0.038615330384659294,0.53,ok,,2
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN7,Voting Ensemble,True,,8,0.868148148148148,0.07134221705383413,0.2,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN7,Voting Ensemble,True,,8,0.8754131054131052,0.02742120471754996,0.19,ok,,1
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN7,Voting Ensemble,True,,8,0.8687464387464386,0.041088863915511045,0.19,ok,,2
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,SV1,SVM (linear),True,,12,0.8296296296296296,0.05916659421545442,0.1,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,SV1,SVM (linear),True,,12,0.8428205128205128,0.02640575355695315,0.1,ok,,1
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,SV1,SVM (linear),True,,12,0.8366096866096868,0.05422034920102963,0.11,ok,,2
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,SV2,Kernel SVM (RBF/Poly),True,,9,0.8414814814814815,0.04059908031420661,0.13,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,SV2,Kernel SVM (RBF/Poly),True,,9,0.8517094017094017,0.03590399252743445,0.13,ok,,1
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,SV2,Kernel SVM (RBF/Poly),True,,9,0.8487464387464387,0.05874740590724287,0.12,ok,,2
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,PR1,Naive Bayes,True,,16,0.8555555555555555,0.04631851318774369,0.1,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,PR1,Naive Bayes,True,,16,0.8383760683760684,0.051365206401783506,0.1,ok,,1
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,PR1,Naive Bayes,True,,16,0.8419373219373218,0.06785135803565448,0.09,ok,,2
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,IB1,k-Nearest Neighbors,True,,14,0.8088888888888889,0.04557813351974863,0.11,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,IB1,k-Nearest Neighbors,True,,14,0.7924501424501424,0.04384299742983966,0.1,ok,,1
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,IB1,k-Nearest Neighbors,True,,14,0.790968660968661,0.04606033226284732,0.1,ok,,2
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,DR4,LDA (Linear Discriminant Analysis),True,,11,0.8103703703703704,0.056286548863741855,0.1,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,DR4,LDA (Linear Discriminant Analysis),True,,11,0.8028205128205128,0.01998619664738928,0.11,ok,,1
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,DR4,LDA (Linear Discriminant Analysis),True,,11,0.796011396011396,0.0690573843276437,0.11,ok,,2
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,NN1,Perceptron,True,,17,0.8274358974358975,0.06601967690510702,0.1,ok,,0
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,NN1,Perceptron,True,,17,0.8262678062678063,0.0727636443140678,0.1,ok,,1
